id_magasin,enseigne,format,ville,latitude,longitude,date_ouverture,ca_annuel,nb_clients_mois,panier_moyen,surface_vente,effectif,population_zone_1km,densite_hab_km2,revenu_median_zone,age_moyen_zone,concurrents_500m,concurrents_1km,parking_places,distance_centre_ville,transport_score,zone_commerciale,mois,trimestre,magasin_id
MAG_016,SuperFrais,Supermarché,Nantes,47.213144,-1.394248,2022-01-17,500000.0,833,50.02,200.0,9.0,32735.0,6234,40356,33.1,7,9,494,4.4,3,False,4,T2,
MAG_017,CityMarket,Drive,Bordeaux,44.813478,-0.56882,2021-04-15,500000.0,815,51.12,200.0,7.0,37643.0,4471,23022,50.2,5,11,443,2.3,5,False,3,T1,
MAG_018,FamilyShop,Express,Nice,43.680621,7.245701,,558437.0,725,64.19,200.0,12.0,90185.0,2571,21258,36.4,0,5,149,2.5,4,False,10,T2,  nan  
MAG_019,BioNature,Supermarché,Strasbourg,48.664083,7.772329,2020-05-07,513741.0,1064,40.24,200.0,6.0,29749.0,3756,25933,23.7,1,3,332,5.4,2,False,2,T1,
  MAG_020  ,SuperFrais,Supermarché,Lyon,45.842502,4.907887,2022-09-23,500000.0,882,47.24,200.0,7.0,5000.0,13153,34147,33.8,3,9,240,1.3,1,True,11,T4,
MAG_021,FamilyShop,Hypermarché,Strasbourg,48.591745,7.762575,2022-02-08,500000.0,653,63.81,200.0,9.0,16005.0,3407,20102,32.8,2,10,77,2.0,5,False,10,T3,
  MAG_022  ,FamilyShop,Proximité,Bordeaux,44.862396,-0.50922,2021-01-22,500000.0,860,48.45,200.0,7.0,20257.0,5726,27890,41.5,2,6,364,3.6,2,True,11,T1,
MAG_023,FamilyShop,Proximité,Marseille,43.22807,5.396575,2020-03-21,500000.0,591,70.5,200.0,8.0,35289.0,5314,21377,49.2,4,10,103,2.4,5,False,2,T2,
MAG_024,CityMarket,Supermarché,Nantes,47.244661,-1.543593,2021-07-19,500000.0,853,48.85,200.0,8.0,5000.0,4121,38676,39.3,3,5,233,3.9,4,True,12,  T1  ,
MAG_025,FamilyShop,Supermarché,Nantes,47.335499,-1.608693,2020-10-27,500000.0,751,55.48,200.0,8.0,56730.0,3649,32482,53.5,4,6,100,1.2,3,True,11,  T2  ,
  MAG_026  ,FamilyShop,Express,Nantes,47.337482,-1.558697,2022-04-29,703096.0,1094,53.56,200.0,9.0,32075.0,5571,37637,44.6,0,2,399,2.2,1,True,6,T2,
MAG_027,FamilyShop,Express,Toulouse,43.614305,1.524056,2021-05-10,541388.0,959,47.04,200.0,11.0,41890.0,4249,34935,34.8,1,4,323,3.9,6,False,8,  T3  ,
MAG_028,SuperFrais,Proximité,Lyon,45.709923,4.820795,2021-09-25,500000.0,928,44.9,200.0,7.0,107595.0,15387,32445,38.4,3,3,150,5.8,2,True,1,T1,
MAG_029,FamilyShop,Hypermarché,Nice,43.687295,7.2307,2022-06-25,500000.0,1146,54.11,200.0,7.0,27774.0,4199,21371,46.5,1,5,292,1.9,8,False,2,T2,
MAG_031,BioNature,Express,Toulouse,43.646485,1.387715,2021-01-05,500000.0,1278,32.6,200.0,7.0,60658.0,5863,8227,44.3,4,7,425,1.4,9,False,4,T2,
MAG_032,MarchéPlus,Proximité,Lille,50.664018,2.946895,2021-08-14,500000.0,863,48.28,200.0,6.0,27677.0,6356,35581,22.3,2,6,228,4.4,1,False,8,T4,
MAG_034,SuperFrais,Express,Montpellier,43.64569,3.925393,2021-12-22,500000.0,1154,36.11,200.0,7.0,43940.0,7214,36069,61.1,2,3,60,2.8,6,True,10,T4,
MAG_035,SuperFrais,Hypermarché,Nice,43.666424,7.272231,2020-03-12,712401.0,1889,31.43,200.0,9.0,23985.0,6666,22981,44.9,2,4,487,2.0,7,True,4,T2,
  MAG_036  ,SuperFrais,Proximité,Marseille,43.264979,5.358306,2020-02-16,972458.0,4494,18.03,200.0,8.0,35289.0,5018,21452,45.6,1,3,413,2.6,9,True,5,T1,
MAG_037,MarchéPlus,Express,Bordeaux,44.86007,-0.578489,2021-11-08,874283.0,1747,41.7,200.0,8.0,55801.0,2656,28879,28.5,1,6,273,5.3,7,False,4,T1,
MAG_038,CityMarket,Supermarché,Bordeaux,44.911069,-0.516896,,500000.0,835,49.9,200.0,8.0,5000.0,4661,25028,40.2,3,5,415,5.8,7,True,11,T1,
MAG_039,BioNature,Drive,Strasbourg,48.487975,7.802617,2022-03-02,500000.0,665,62.66,200.0,9.0,42171.0,3855,41733,50.5,6,9,447,3.9,7,False,12,T2,
MAG_040,SuperFrais,Hypermarché,Lyon,45.676345,4.817351,,500000.0,814,51.19,200.0,10.0,63750.0,10999,20192,38.2,2,9,419,7.3,7,False,2,T1,
MAG_041,MarchéPlus,Supermarché,Nice,43.761658,7.28563,,500000.0,1103,37.78,200.0,9.0,38725.0,6207,41324,35.1,2,5,239,5.0,2,False,3,T3,
MAG_042,MarchéPlus,Proximité,Strasbourg,48.503067,7.745715,2022-05-25,500000.0,1036,40.22,200.0,10.0,36369.0,1736,27009,29.4,1,5,293,3.0,2,True,2,T2,
MAG_043,FamilyShop,  Hypermarché  ,,44.86942,-0.530572,2020-08-26,616996.0,1203,42.74,200.0,7.0,34209.0,2748,22183,46.5,1,5,379,2.5,9,True,2,T3,
MAG_044,MarchéPlus,Drive,Nice,43.741133,7.247834,2022-06-06,500000.0,740,56.31,200.0,8.0,36425.0,4347,28925,47.1,4,5,384,0.8,8,False,4,T3,
MAG_045,SuperFrais,Supermarché,Strasbourg,48.618513,7.651504,2020-04-13,500000.0,796,52.35,200.0,6.0,42970.0,3610,7765,42.0,3,3,458,5.6,2,True,7,T1,
MAG_046,CityMarket,Proximité,Nantes,47.217406,-1.51793,2021-01-24,525690.0,915,47.88,200.0,12.0,32152.0,6596,22533,37.6,2,7,489,1.6,9,False,3,T3,
  MAG_047  ,BioNature,  Supermarché  ,Nice,43.787725,7.212082,2020-10-11,500000.0,680,61.27,200.0,7.0,51226.0,4486,27604,35.9,1,4,101,4.3,4,True,12,T3,  nan  
MAG_048,SuperFrais,Hypermarché,Montpellier,43.581954,3.882027,2021-04-09,500000.0,2258,37.96,200.0,5.0,7390.0,6061,47631,47.5,1,3,387,1.3,3,False,9,T3,
MAG_049,MarchéPlus,Hypermarché,Lille,50.62015,2.969207,2021-10-12,589803.0,1067,46.06,200.0,7.0,35289.0,6527,29001,40.3,1,9,87,3.5,8,True,3,T3,
MAG_050,FamilyShop,Hypermarché,Marseille,43.348024,5.390081,2022-05-04,563553.0,992,47.34,200.0,9.0,35289.0,4181,34860,46.9,3,4,284,2.9,7,True,7,T3,  nan  
